step,time_hours,hour_of_day,temperature_outdoor,temperature_indoor,temp_error,humidity,occupancy,solar_radiation,tariff,tariff_normalized,base_consumption_kw,hvac_level,hvac_power_level,hvac_consumption_kw,total_consumption_kw,step_cost,cumulative_cost,cumulative_energy_kwh,comfort_index,temp_deviation
0,0.0000,0.0000,26.4507,27.1680,5.1680,0.7657,3.8000,0.0000,0.0700,0.0000,0.5163,0.5747,0.0057,0.0000,0.5163,0.0361,0.0361,0.5163,0.3664,5.1680
1,1.0000,1.0000,25.3736,28.2510,6.2510,0.7034,4.0000,0.0000,0.0700,0.0000,0.5409,0.5747,0.0057,0.0000,0.5409,0.0379,0.0740,1.0572,0.1498,6.2510
2,2.0000,2.0000,24.8823,29.1710,7.1710,0.7259,3.8000,0.0000,0.0700,0.0000,0.5342,0.5747,0.0057,0.0000,0.5342,0.0374,0.1114,1.5914,0.0000,7.1710
3,3.0000,3.0000,24.5810,29.9210,7.9210,0.7775,3.5000,0.0000,0.0700,0.0000,0.4897,0.5870,0.0059,0.0000,0.4897,0.0343,0.1457,2.0811,0.0000,7.9210
4,4.0000,4.0000,24.5890,30.7140,8.7140,0.7544,3.8000,0.0000,0.0700,0.0000,0.5383,0.6043,0.0060,0.0000,0.5383,0.0377,0.1834,2.6194,0.0000,8.7140
5,5.0000,5.0000,25.4051,31.5070,9.5070,0.7925,3.8000,0.0000,0.0700,0.0000,0.4133,0.6237,0.0062,0.0000,0.4133,0.0289,0.2123,3.0327,0.0000,9.5070
6,6.0000,6.0000,26.9769,32.2320,10.2320,0.7197,3.4000,0.0000,0.0700,0.0000,1.1794,0.6481,0.0065,0.0000,1.1794,0.0826,0.2948,4.2121,0.0000,10.2320
7,7.0000,7.0000,28.5632,32.7780,10.7780,0.6685,2.6000,49.4905,0.0700,0.0000,1.1568,0.6743,0.0067,0.0000,1.1568,0.0810,0.3758,5.3688,0.0000,10.7780
8,8.0000,8.0000,30.1816,33.0480,11.0480,0.7474,1.4000,165.6355,0.1400,0.3043,1.4238,0.6029,0.0060,0.0000,1.4238,0.1993,0.5752,6.7926,0.0000,11.0480
9,9.0000,9.0000,31.8829,33.1900,11.1900,0.6410,0.6000,322.9248,0.1400,0.3043,1.4333,0.5747,0.0057,0.0000,1.4333,0.2007,0.7758,8.2259,0.0000,11.1900
10,10.0000,10.0000,33.9546,33.5800,11.5800,0.6139,0.9000,592.9259,0.3000,1.0000,0.7407,0.5747,0.0057,0.0000,0.7407,0.2222,0.9980,8.9666,0.0000,11.5800
11,11.0000,11.0000,35.7213,33.9870,11.9870,0.5180,0.6000,740.3407,0.3000,1.0000,0.8243,0.5747,0.0057,0.0000,0.8243,0.2473,1.2453,9.7910,0.0000,11.9870
